,State,Number_feature,Time_Step,number_layers,number_hiddinen_nodes,MAE,RMSE,R2_Score
24,Maharashtra,2,7,1,32,0.12371796369552612,0.12470124723423298,0.26020779422401474
25,Maharashtra,2,15,1,1,0.29182398319244385,0.3161631816124132,-6.323054276307796
26,Maharashtra,2,15,1,5,0.1271340399980545,0.12734457700261906,-0.18803852120443731
27,Maharashtra,2,15,1,8,0.22989118099212646,0.23168285268018118,-2.9323975809152762
28,Maharashtra,2,15,1,16,0.17284294962882996,0.1735542475771861,-1.206683727181436
29,Maharashtra,2,15,1,32,0.14048224687576294,0.14095425472350176,-0.4555464597261121
30,Maharashtra,3,5,1,1,0.3759320378303528,0.3904558387688602,-5.609020988044117
31,Maharashtra,3,5,1,5,0.15297484397888184,0.1577834992625253,-0.07923608689214068
32,Maharashtra,3,5,1,8,0.20211562514305115,0.2056261188830281,-0.8329469527934064
33,Maharashtra,3,5,1,16,0.11418309062719345,0.11612045147239185,0.41546467830515244
34,Maharashtra,3,5,1,32,0.12848131358623505,0.1302110639921597,0.26499709604217137
35,Maharashtra,3,7,1,1,0.38173815608024597,0.3934427296152306,-6.364294591050475
36,Maharashtra,3,7,1,5,0.1908659189939499,0.19356883870118136,-0.7825388953963077
37,Maharashtra,3,7,1,8,0.23870013654232025,0.24196128124449007,-1.7852218348539233
38,Maharashtra,3,7,1,16,0.17648844420909882,0.17958768892058555,-0.5343386775808434
39,Maharashtra,3,7,1,32,0.18508218228816986,0.18688581127610368,-0.6615781376171308
40,Maharashtra,3,15,1,1,0.142830029129982,0.1432137235349983,-0.502584555090887
