,State,Number_feature,Time_Step,number_layers,MAE,RMSE,R2_Score
134,Uttar-Pradesh,5,30,1,0.21901628375053406,0.2237185268137224,-3.9236512691214323
135,Uttar-Pradesh,5,30,2,0.23288872838020325,0.24433380876158126,-4.872872097360154
136,Uttar-Pradesh,6,5,1,0.1830611377954483,0.1997795812619761,0.29889335978791076
137,Uttar-Pradesh,6,5,2,0.11221511662006378,0.1275884138491472,0.7140406317029857
138,Uttar-Pradesh,6,7,1,0.16278493404388428,0.18158697546035446,0.38772514957172444
139,Uttar-Pradesh,6,7,2,0.14647966623306274,0.15967485722139294,0.5265762275617729
140,Uttar-Pradesh,6,15,1,0.1493426114320755,0.16668868229914807,0.28412790205497696
141,Uttar-Pradesh,6,15,2,0.18978416919708252,0.20197371519921684,-0.051024680093300745
142,Uttar-Pradesh,6,30,1,0.14729763567447662,0.15932031282248998,-1.4970409818729826
143,Uttar-Pradesh,6,30,2,0.1847182661294937,0.19382056712399434,-2.695584368117374
144,Kerala,1,5,1,0.10908054560422897,0.1310264247089518,0.638279319233019
145,Kerala,1,5,2,0.07563969492912292,0.08820615925397349,0.8360719084889349
146,Kerala,1,7,1,0.11186027526855469,0.13187974272692313,0.625074302994436
147,Kerala,1,7,2,0.07990586757659912,0.09259437044272474,0.8151760804420746
148,Kerala,1,15,1,0.10835464298725128,0.12574465053311157,0.6116275694418276
149,Kerala,1,15,2,0.1145414337515831,0.1325967382471456,0.5681478866558358
150,Kerala,1,30,1,0.1230015978217125,0.13073810253024526,0.287652677197765
151,Kerala,1,30,2,0.17117567360401154,0.18086610785654716,-0.36333242610915795
152,Kerala,2,5,1,0.11224003881216049,0.13529024427866715,0.6143542707158467
153,Kerala,2,5,2,0.1046103909611702,0.12665519234041323,0.662011793379776
154,Kerala,2,7,1,0.11121377348899841,0.1340085825168813,0.6128722908744588
155,Kerala,2,7,2,0.12607787549495697,0.15240763278511435,0.4992712706379815
156,Kerala,2,15,1,0.09738326072692871,0.11327880412782704,0.6848141918705573
157,Kerala,2,15,2,0.16133272647857666,0.18555819828216238,0.15427406911166364
158,Kerala,2,30,1,0.18674395978450775,0.19453110790630498,-0.57712285908266
159,Kerala,2,30,2,0.17637419700622559,0.18304071934599092,-0.3963132063973025
160,Kerala,3,5,1,0.10273094475269318,0.1228599452993136,0.6819640695340194
161,Kerala,3,5,2,0.14396463334560394,0.16810975698765743,0.4045553399969435
162,Kerala,3,7,1,0.10623522102832794,0.1260620610693315,0.657423273397115
163,Kerala,3,7,2,0.13481098413467407,0.15969208584786865,0.4502619226501685
164,Kerala,3,15,1,0.11859862506389618,0.13435033028391286,0.5566498357201748
165,Kerala,3,15,2,0.11261320114135742,0.12731458119248942,0.601869302911147
166,Kerala,3,30,1,0.19062967598438263,0.19588716841562462,-0.5991874966372659
167,Kerala,3,30,2,0.21736323833465576,0.22861038590740174,-1.178107650698284
168,Kerala,4,5,1,0.10886131972074509,0.13374837549060847,0.6230943728368943
169,Kerala,4,5,2,0.09064960479736328,0.10654503849162528,0.7608215872831459
170,Kerala,4,7,1,0.10277876257896423,0.12815318350063754,0.6459636615130879
171,Kerala,4,7,2,0.10722758620977402,0.12318814584508563,0.6728650877136985
172,Kerala,4,15,1,0.14036795496940613,0.15575244481332434,0.40414704780491584
173,Kerala,4,15,2,0.11421056091785431,0.13478844214517574,0.5537536333012498
174,Kerala,4,30,1,0.1492341309785843,0.1624659844247681,-0.10004967548315813
175,Kerala,4,30,2,0.11377865821123123,0.12704498195680494,0.3273293134489128
176,Kerala,5,5,1,0.09078512340784073,0.11514909061422918,0.7206320533411693
177,Kerala,5,5,2,0.1368969976902008,0.15892530956200657,0.46784067358548964
178,Kerala,5,7,1,0.09077364951372147,0.11546377608125914,0.712604130309777
179,Kerala,5,7,2,0.10869639366865158,0.12732008936541142,0.650551710458225
180,Kerala,5,15,1,0.11021284759044647,0.13106177462930557,0.5780884301800789
181,Kerala,5,15,2,0.10729633271694183,0.12091560873502219,0.6408845680286308
182,Kerala,5,30,1,0.1342177391052246,0.14510187707488062,0.1225276015196034
183,Kerala,5,30,2,0.16683624684810638,0.18123941308376093,-0.3689660048933565
184,Kerala,6,5,1,0.12500512599945068,0.1465503988882517,0.5474885453352283
185,Kerala,6,5,2,0.0611489973962307,0.07694641655276943,0.8752523549828739
186,Kerala,6,7,1,0.15766161680221558,0.1767850507118933,0.32627898725160176
187,Kerala,6,7,2,0.0870121419429779,0.1015083416176541,0.7778775173855308
188,Kerala,6,15,1,0.1020301803946495,0.12722490270350045,0.6024299938048471
189,Kerala,6,15,2,0.09722962230443954,0.11065482355177116,0.6992469574818305
190,Kerala,6,30,1,0.18302273750305176,0.20013174582995039,-0.6692421738953898
191,Kerala,6,30,2,0.16491389274597168,0.17794170443743276,-0.3196017765046093
192,Tamil-Nadu,1,5,1,0.10679824650287628,0.13290147746029457,0.6780128464355109
193,Tamil-Nadu,1,5,2,0.06205374002456665,0.07409106426548047,0.8999284787263112
194,Tamil-Nadu,1,7,1,0.11058945953845978,0.13594410650050376,0.6579689427914329
195,Tamil-Nadu,1,7,2,0.06778299808502197,0.08354831479092756,0.8708125893402447
196,Tamil-Nadu,1,15,1,0.11850471794605255,0.1429636328985273,0.5884777091558802
197,Tamil-Nadu,1,15,2,0.1489678919315338,0.1716122786772848,0.40702153558465326
198,Tamil-Nadu,1,30,1,0.14191949367523193,0.15509260792208934,0.33826777724861534
199,Tamil-Nadu,1,30,2,0.17325124144554138,0.19049198403226542,0.0017172780725599468
200,Tamil-Nadu,2,5,1,0.10761117190122604,0.13624443474830303,0.6616108631342805
201,Tamil-Nadu,2,5,2,0.09284834563732147,0.12086608080887114,0.7336898314913971
202,Tamil-Nadu,2,7,1,0.10318990051746368,0.1328780208981708,0.673223276529543
203,Tamil-Nadu,2,7,2,0.159870445728302,0.19575036558029413,0.2908306226189157
204,Tamil-Nadu,2,15,1,0.08574990183115005,0.10834596841822393,0.7636434031098254
205,Tamil-Nadu,2,15,2,0.16787487268447876,0.2072308855387834,0.13532847553303484
206,Tamil-Nadu,2,30,1,0.16699053347110748,0.1775531578553654,0.13272479396080827
207,Tamil-Nadu,2,30,2,0.19858263432979584,0.21305035364817265,-0.2487186669431245
208,Tamil-Nadu,3,5,1,0.15359991788864136,0.1767490395323598,0.43050098002858617
209,Tamil-Nadu,3,5,2,0.14499416947364807,0.17060089913129328,0.4694314541632989
210,Tamil-Nadu,3,7,1,0.13625699281692505,0.1651736957426961,0.4950753752905205
211,Tamil-Nadu,3,7,2,0.17510394752025604,0.19817332307219868,0.2731661225877272
212,Tamil-Nadu,3,15,1,0.10076399147510529,0.1194294297934276,0.7128129039326244
213,Tamil-Nadu,3,15,2,0.12762029469013214,0.15043584961059184,0.5443358121137648
214,Tamil-Nadu,3,30,1,0.1504281759262085,0.16349437529982686,0.26463022853771556
215,Tamil-Nadu,3,30,2,0.23878386616706848,0.25569176461881055,-0.7985959197097665
216,Tamil-Nadu,4,5,1,0.0958072692155838,0.12467407038914637,0.7166448174216529
217,Tamil-Nadu,4,5,2,0.0913657695055008,0.11435520064585569,0.7616085225622184
218,Tamil-Nadu,4,7,1,0.0741678923368454,0.10587813256942827,0.7925290358494061
219,Tamil-Nadu,4,7,2,0.09899701923131943,0.12045154710934412,0.7314843726829883
220,Tamil-Nadu,4,15,1,0.19636718928813934,0.2126742497043148,0.08930694566719577
221,Tamil-Nadu,4,15,2,0.16897466778755188,0.19381791470383852,0.2436374071639753
222,Tamil-Nadu,4,30,1,0.19140642881393433,0.217586163110374,-0.30245483941703677
223,Tamil-Nadu,4,30,2,0.19100630283355713,0.21761790310891466,-0.30283483082624496
224,Tamil-Nadu,5,5,1,0.09142448753118515,0.12469138478200385,0.7165661126641028
225,Tamil-Nadu,5,5,2,0.10806699097156525,0.14171380823008825,0.6338970388636826
226,Tamil-Nadu,5,7,1,0.11363241821527481,0.142112304118348,0.6262267983279639
227,Tamil-Nadu,5,7,2,0.15187430381774902,0.1805604070282687,0.39662144253980847
228,Tamil-Nadu,5,15,1,0.08793124556541443,0.11642889612207034,0.727062141750203
229,Tamil-Nadu,5,15,2,0.12824293971061707,0.1506788476776281,0.5428625735174204
230,Tamil-Nadu,5,30,1,0.1398121565580368,0.16026762834434707,0.2933705737017419
231,Tamil-Nadu,5,30,2,0.2318420112133026,0.268395963059757,-0.9817646169168734
232,Tamil-Nadu,6,5,1,0.12994320690631866,0.15612821004811064,0.5556331408598604
233,Tamil-Nadu,6,5,2,0.12664057314395905,0.1551680777229837,0.5610818173621352
234,Tamil-Nadu,6,7,1,0.12442667037248611,0.14930374461068854,0.587440897617042
235,Tamil-Nadu,6,7,2,0.14029765129089355,0.16780641939914145,0.47885093383320865
236,Tamil-Nadu,6,15,1,0.17361041903495789,0.19362353573744778,0.24515373865604173
237,Tamil-Nadu,6,15,2,0.19110099971294403,0.21557762344234543,0.06427205223837706
238,Tamil-Nadu,6,30,1,0.10367617011070251,0.12035548987166651,0.6014967023435209
239,Tamil-Nadu,6,30,2,0.15899036824703217,0.19380759298428912,-0.03333636574972143
