,State,Number_feature,Time_Step,number_layers,kernel_size,MAE,RMSE,R2_Score
361,Karnataka,2,15,2,2,0.13705724477767944,0.1527490786818863,0.45257809138408456
362,Karnataka,2,15,2,3,0.1026320606470108,0.1119831873667225,0.7057810766384927
363,Karnataka,2,15,2,4,0.1350257247686386,0.14645345997423573,0.4967726333156275
364,Karnataka,2,15,3,1,0.11932040005922318,0.12990586355921327,0.6040663230829337
365,Karnataka,2,15,3,2,0.04999755695462227,0.05204150661194658,0.9364574366415682
366,Karnataka,2,15,3,3,0.0751805379986763,0.0797578174158738,0.8507509776787656
367,Karnataka,2,15,3,4,0.07669733464717865,0.08586073286008494,0.8270366399154758
368,Karnataka,2,15,4,1,0.08227348327636719,0.08714983603442357,0.8218039315007153
369,Karnataka,2,15,4,2,0.08536659181118011,0.1020576255729932,0.7556254811374892
370,Karnataka,2,15,4,3,0.10596388578414917,0.1260317747973945,0.6273294138141625
371,Karnataka,2,15,4,4,0.18718276917934418,0.20774319432400423,-0.0125549131112217
372,Karnataka,2,30,2,1,0.03629539906978607,0.04166425416091535,0.9098564650659351
373,Karnataka,2,30,2,2,0.03969566524028778,0.042881546614440734,0.904512117534342
374,Karnataka,2,30,2,3,0.099616639316082,0.11433067199525683,0.321213951221229
375,Karnataka,2,30,2,4,0.07433688640594482,0.09592858829174537,0.5221368813400256
376,Karnataka,2,30,3,1,0.05961194634437561,0.06050708062903404,0.8098835109180788
377,Karnataka,2,30,3,2,0.041079871356487274,0.05008818776739246,0.8697199208104148
378,Karnataka,2,30,3,3,0.10116255283355713,0.11757170558273698,0.28218419381716686
379,Karnataka,2,30,3,4,0.07420200109481812,0.0967723229238526,0.5136938948398475
380,Karnataka,2,30,4,1,0.11285978555679321,0.11660159189297355,0.2939810571054329
381,Karnataka,2,30,4,2,0.09509947896003723,0.11932055769114447,0.26067065268574796
382,Karnataka,2,30,4,3,0.05318209528923035,0.06781836389313595,0.76116277976475
383,Karnataka,2,30,4,4,0.11311144381761551,0.13653096518003338,0.03201254052901403
384,Karnataka,3,5,2,1,0.13883017003536224,0.153267377474505,0.5709592492186762
385,Karnataka,3,5,2,2,0.19735556840896606,0.2152607512192642,0.1536912859023738
386,Karnataka,3,5,2,3,0.13613198697566986,0.14892606266182748,0.5949203371047996
387,Karnataka,3,5,2,4,0.1437683403491974,0.16160104517753626,0.5230340414088468
388,Karnataka,3,5,3,1,0.16771195828914642,0.1795492884618374,0.4112018574742873
389,Karnataka,3,5,3,2,0.1142839714884758,0.12670566944056486,0.7067816418202628
